time,asset_id_quote,rate
2021-05-17T17:54:32.0000000Z,AFT,840800069.772222
2021-05-17T17:54:32.0000000Z,AG8,838170.47679324
2021-05-17T17:54:32.0000000Z,AGI,135961.93065941537
2021-05-17T17:54:32.0000000Z,AGLT,9655753386.459482
2021-05-17T17:54:32.0000000Z,AGOL,232416279449.23212
2021-05-17T17:54:32.0000000Z,AGOLP,18931922100.83149
2021-05-17T17:54:32.0000000Z,AGOV,1607226.520179285
2021-05-17T17:54:32.0000000Z,AGRS,39834.383395696
2021-05-17T17:54:32.0000000Z,AGS,525822.2386067851
2021-05-17T17:54:32.0000000Z,AGVC,10892251.26282045
2021-05-17T17:54:32.0000000Z,AHT,4003321.407286017
2021-05-17T17:54:32.0000000Z,AICO,676.4821427329381
2021-05-17T17:54:32.0000000Z,AID,362318.84057971014
2021-05-17T17:54:32.0000000Z,AIDOC,14877458.204231668
2021-05-17T17:54:32.0000000Z,AIG,832.9109527948967
2021-05-17T17:54:32.0000000Z,AIM,327021.2776394296
2021-05-17T17:54:32.0000000Z,AIN,117.61399524262147
2021-05-17T17:54:32.0000000Z,AION,124538.6147583769
2021-05-17T17:54:32.0000000Z,AIRX,238028329.49421772
2021-05-17T17:54:32.0000000Z,AIT,12271410.920037586
2021-05-17T17:54:32.0000000Z,AITRA,8981.094795455567
2021-05-17T17:54:32.0000000Z,AKM,80536.27722855238
2021-05-17T17:54:32.0000000Z,AKN,141771.00870334843
2021-05-17T17:54:32.0000000Z,AKRO,1160894.9705720788
2021-05-17T17:54:32.0000000Z,AKRO3L,253732.56543422086
2021-05-17T17:54:32.0000000Z,AKRO3S,110233.42817065123
2021-05-17T17:54:32.0000000Z,AKT,9199.016950369214
2021-05-17T17:54:32.0000000Z,ALBT,74755.47697884058
2021-05-17T17:54:32.0000000Z,ALCX,33.877159253955035
2021-05-17T17:54:32.0000000Z,ALEPH,129612.4839618493
2021-05-17T17:54:32.0000000Z,ALG,33293.493227887884
2021-05-17T17:54:32.0000000Z,ALGN,76.51643203733191
2021-05-17T17:54:32.0000000Z,ALGO,33260.4551907257
2021-05-17T17:54:32.0000000Z,ALGO3L,4861769.110927815
2021-05-17T17:54:32.0000000Z,ALGO3S,118388.21539841616
2021-05-17T17:54:32.0000000Z,ALGOBEAR,111354662430.8574
2021-05-17T17:54:32.0000000Z,ALGOBULL,215977556.85581914
2021-05-17T17:54:32.0000000Z,ALGOHALF,2.494199321399779
2021-05-17T17:54:32.0000000Z,ALGOHEDGE,278.74866733342066
2021-05-17T17:54:32.0000000Z,ALIAS,236404.4094595042
2021-05-17T17:54:32.0000000Z,ALICE,3425.744418303775
2021-05-17T17:54:32.0000000Z,ALICE3L,4769833.543757878
2021-05-17T17:54:32.0000000Z,ALICE3S,67999.46647803827
2021-05-17T17:54:32.0000000Z,ALITA,50123674.52762516
2021-05-17T17:54:32.0000000Z,ALLOY,150844.48299447133
2021-05-17T17:54:32.0000000Z,ALLWIN,211241.20879325955
2021-05-17T17:54:32.0000000Z,ALN,234621.07827816124
2021-05-17T17:54:32.0000000Z,ALP,34023.47286693432
2021-05-17T17:54:32.0000000Z,ALPA,50119.81041239555
2021-05-17T17:54:32.0000000Z,ALPACA,23014.555664550036
2021-05-17T17:54:32.0000000Z,ALPHA,24477.077142939146
2021-05-17T17:54:32.0000000Z,ALPHA3L,85933.47406489644
2021-05-17T17:54:32.0000000Z,ALPHA3S,755262.7701044041
2021-05-17T17:54:32.0000000Z,ALR,2215928.2130425875
2021-05-17T17:54:32.0000000Z,ALT,18.86752068086495
2021-05-17T17:54:32.0000000Z,ALTBEAR,29134587.180346653
2021-05-17T17:54:32.0000000Z,ALTBULL,57.73138878013165
2021-05-17T17:54:32.0000000Z,ALTHALF,1.8945399724194663
2021-05-17T17:54:32.0000000Z,ALTHEDGE,250.79145360133435
2021-05-17T17:54:32.0000000Z,ALV,18766215.13905565
2021-05-17T17:54:32.0000000Z,AMA,516387.3260884312
2021-05-17T17:54:32.0000000Z,AMAT,350.9334719644731
2021-05-17T17:54:32.0000000Z,AMB,772200.7722007722
2021-05-17T17:54:32.0000000Z,AMBK,25814159.329845753
2021-05-17T17:54:32.0000000Z,AMC,3130.1634590800313
2021-05-17T17:54:32.0000000Z,AMD,580.9839666490612
2021-05-17T17:54:32.0000000Z,AME,910903.9523820144
2021-05-17T17:54:32.0000000Z,AMIX,133036.1222703895
2021-05-17T17:54:32.0000000Z,AMLT,755802.7673467984
2021-05-17T17:54:32.0000000Z,AMM,3772067.3926420007
2021-05-17T17:54:32.0000000Z,AMO,17989194.855056882
2021-05-17T17:54:32.0000000Z,AMP,791937.6565231384
2021-05-17T17:54:32.0000000Z,AMPL,55681.33513093879
2021-05-17T17:54:32.0000000Z,AMTT,99.65498746968285
2021-05-17T17:54:32.0000000Z,AMZN,13.229557415599986
2021-05-17T17:54:32.0000000Z,ANC,8562.827185751456
2021-05-17T17:54:32.0000000Z,AND,6995.113220600168
2021-05-17T17:54:32.0000000Z,ANI,660161.7051556205
2021-05-17T17:54:32.0000000Z,ANIO,1292.1482610914777
2021-05-17T17:54:32.0000000Z,ANKR,328740.0971181068
2021-05-17T17:54:32.0000000Z,ANKR3L,569920.302477184
2021-05-17T17:54:32.0000000Z,ANKR3S,46503.41997438816
2021-05-17T17:54:32.0000000Z,ANKR8,328674.16459754517
2021-05-17T17:54:32.0000000Z,ANRX,483436.34225911304
2021-05-17T17:54:32.0000000Z,ANS,19357.617504661248
2021-05-17T17:54:32.0000000Z,ANT,6248.263916878288
2021-05-17T17:54:32.0000000Z,ANT2,6250.253774552459
2021-05-17T17:54:32.0000000Z,ANTTOKEN,19765293.18201582
2021-05-17T17:54:32.0000000Z,ANV,22778.074550263093
2021-05-17T17:54:32.0000000Z,ANW,403747.99521306844
2021-05-17T17:54:32.0000000Z,ANY,8306.208540967004
2021-05-17T17:54:32.0000000Z,AOA,14529211.88101638
2021-05-17T17:54:32.0000000Z,AOS,1359030.3005588567
2021-05-17T17:54:32.0000000Z,APH,645.3367571598136
2021-05-17T17:54:32.0000000Z,APHA,3455.710546177664
2021-05-17T17:54:32.0000000Z,API3,8765.563632507417
2021-05-17T17:54:32.0000000Z,API32,8700.490724124402
2021-05-17T17:54:32.0000000Z,APIX,751313.6318246179
2021-05-17T17:54:32.0000000Z,APL,1335113.4846461948
